valor_real,valor_previsto
45.92,45.86390500388118
46.85,46.87665755663568
45.94,46.16599058747524
46.12,45.95974294020646
46.56,46.494000836653335
46.68,46.764464649150256
45.11,45.80942185747201
46.81,46.36387513952235
47.23,46.621237294924065
46.79,46.80678720251508
46.01,46.33434353775678
46.38,46.34198750110514
44.47,45.10830991735538
45.93,45.890678047410205
47.05,46.88335100960001
45.41,45.60547902964088
46.22,46.34004989330427
45.88,46.35278079403875
46.81,46.5404375688803
46.47,45.99052995016205
45.34,45.92764570348961
46.17,45.92082516050359
46.21,45.823913626862016
45.76,46.10309095704953
45.34,45.70441995799116
46.17,46.113777345978406
47.39,47.21882538139223
45.6,45.7265028211139
45.87,46.61076995429368
44.94,45.28646461261183
47.1,46.942233931175785
46.18,46.193597552591115
46.77,46.97482710103165
46.75,46.59383507223393
46.01,45.89959096687116
46.17,46.37219890248886
45.14,45.5578817016317
46.72,46.15940549750935
47.55,47.168221485288335
46.34,46.53860752089452
45.65,45.35255303030303
46.92,46.756093433842445
45.69,45.83903171955364
46.27,45.70441995799116
45.65,45.67124049084385
46.78,46.24281275397248
46.62,46.44379533034391
46.97,47.12316382012741
46.81,46.61546616577807
46.3,46.35278079403875
45.69,45.900468709817865
45.66,45.91142700124723
45.36,45.78658094838111
45.79,46.33810684117263
45.89,46.27580563653373
45.77,45.918732784028656
47.18,47.12048572261072
46.36,46.764464649150256
46.29,46.57426833774911
46.18,45.92082516050359
46.58,46.36872582054681
45.5,45.84075288022604
46.57,46.66274328079202
46.23,46.59383507223393
47.83,47.1103513554182
46.33,46.10309095704953
45.97,46.134650816570314
46.31,46.55263724420497
46.32,46.37191965780898
45.73,45.455601777350786
47.38,47.187313103563106
46.14,46.19098037188698
45.49,45.890678047410205
45.76,45.92622284947308
46.8,46.446767787986694
46.5,46.37219890248886
46.36,46.028936343959074
46.6,46.54788075069848
46.81,46.41311696154042
46.51,46.868634516841254
46.69,46.32558549402131
45.46,45.88094064789189
47.55,47.03685203277116
46.51,46.446767787986694
46.72,45.890678047410205
45.97,46.136337110288174
46.48,46.30247377325207
46.33,46.104733364339566
46.49,47.06884563830923
46.42,46.021946493594925
45.86,45.8711588010668
45.83,46.761003587685806
46.83,46.65380388685262
46.73,46.623461653898424
46.04,45.890678047410205
46.76,46.45967210631194
46.06,46.446767787986694
45.97,46.09582044487861
46.26,46.390946070585386
46.96,46.526899817307786
